Date,Year,Time step,Cumu Total Orders (ML),Farm Orders,Other Orders,Env Orders,TS HR Alloc. (ML),TS LR Alloc. (ML),Cumu. Camp HR Alloc. (ML),Cumu. Camp LR Alloc. (ML),Camp HR Alloc. (%),Camp LR Alloc. (%),Env HR Alloc (ML),Env LR Alloc (ML),Adj HR Alloc (%),Adj LR Alloc (%),GMW Vol (ML),Goulburn HR Alloc. (%),Goulburn LR Alloc. (%),Inflow (ML),Dam Vol (ML),Daily Dam Release (ML),Avail. Carryover (ML),Next Year's Reserves (ML)
2012-03-16,31,23,18084.4353231,0.0,0.0,0.0,15374.3646769,0.0,31802.8,14728.1,100.0,100.0,8631.56467687,0.0,96.7554192716,73.3935673427,254197.823901,100.0,NA,1010.32318175,310011.023039,73.3439415537,6405.66,31802.8
2012-03-23,31,24,18084.4353231,0.0,0.0,0.0,15374.3646769,0.0,31802.8,14728.1,100.0,100.0,8631.56467687,0.0,96.7554192716,73.3935673427,254880.076271,100.0,NA,68.7437292176,311784.617577,6.08826637268,6405.66,31802.8
2012-04-06,31,25,18084.4353231,0.0,0.0,0.0,15374.3646769,0.0,31802.8,14728.1,100.0,100.0,8631.56467687,0.0,96.7554192716,73.3935673427,250234.528201,100.0,NA,515.676239885,305672.382541,38.0120171346,6405.66,31802.8
2012-04-20,31,26,24084.4353231,0.0,0.0,6000.0,9374.36467687,0.0,31802.8,14728.1,100.0,100.0,8631.56467687,0.0,96.7554192716,73.3935673427,247846.298726,100.0,NA,117.044517855,303158.539294,866.681179847,6405.66,31802.8
2012-04-30,31,27,26716.0,0.0,0.0,2631.56467687,6742.8,0.0,31802.8,14728.1,100.0,100.0,2631.56467687,0.0,96.7554192716,73.3935673427,242367.57883,100.0,NA,0.0,296594.218085,377.115810982,6405.66,31802.8
2012-07-01,32,1,0.0,0.0,0.0,0.0,31802.8,0.0,31802.8,0.0,100.0,0.0,25716.0,0.0,96.7554192716,0.0,257890.886676,74.0,NA,1390.0087022,314135.072609,100.464335872,6405.66,0.0
2012-07-15,32,2,1000.0,0.0,1000.0,0.0,32458.8,0.0,31802.8,14728.1,100.0,100.0,25716.0,0.0,96.7554192716,73.3935673427,260557.534104,100.0,NA,511.821867796,318265.268503,180.5938477,6405.66,31802.8
2012-07-29,32,3,1000.0,0.0,0.0,0.0,32458.8,0.0,31802.8,14728.1,100.0,100.0,25716.0,0.0,96.7554192716,73.3935673427,259401.740835,100.0,NA,772.363920514,316595.222464,56.3468514653,6405.66,31802.8
2012-08-12,32,4,1000.0,0.0,0.0,0.0,32458.8,0.0,31802.8,14728.1,100.0,100.0,25716.0,0.0,96.7554192716,73.3935673427,256074.333745,100.0,NA,634.91802135,312674.854838,46.5292872393,6405.66,31802.8
2012-08-25,32,5,1000.0,0.0,0.0,0.0,32458.8,0.0,31802.8,14728.1,100.0,100.0,25716.0,0.0,96.7554192716,73.3935673427,258399.417514,100.0,NA,540.93296453,315604.307906,39.816068895,6405.66,31802.8
2012-08-26,32,6,1000.0,0.0,0.0,0.0,32458.8,0.0,31802.8,14728.1,100.0,100.0,25716.0,0.0,96.7554192716,73.3935673427,257180.555688,100.0,NA,125.061090816,314533.762918,10.1109350583,6405.66,31802.8
2012-09-09,32,7,1000.0,0.0,0.0,0.0,32458.8,0.0,31802.8,14728.1,100.0,100.0,25716.0,0.0,96.7554192716,73.3935673427,252580.320779,100.0,NA,213.784700534,308834.996738,16.4483357524,6405.66,31802.8
2012-09-23,32,8,1120.0,0.0,0.0,120.0,32338.8,0.0,31802.8,14728.1,100.0,100.0,25716.0,0.0,96.7554192716,73.3935673427,248721.776809,100.0,NA,1259.31118789,303083.928823,108.271656278,6405.66,31802.8
2012-10-07,32,9,1240.0,0.0,0.0,120.0,32218.8,0.0,31802.8,14728.1,100.0,100.0,25596.0,0.0,96.7554192716,73.3935673427,249926.638455,100.0,NA,277.965283092,305534.618199,38.1755202209,6405.66,31802.8
2012-10-21,32,10,1360.0,0.0,0.0,120.0,32098.8,0.0,31802.8,14728.1,100.0,100.0,25476.0,0.0,96.7554192716,73.3935673427,250457.344063,100.0,NA,331.748877677,306128.036565,42.0172055483,6405.66,31802.8
2012-11-04,32,11,1480.0,0.0,0.0,120.0,31978.8,0.0,31802.8,14728.1,100.0,100.0,25356.0,0.0,96.7554192716,73.3935673427,248553.161738,100.0,NA,571.092261139,303566.519614,59.1131615099,6405.66,31802.8
2012-11-18,32,12,1600.0,0.0,0.0,120.0,31858.8,0.0,31802.8,14728.1,100.0,100.0,25236.0,0.0,96.7554192716,73.3935673427,237374.878755,100.0,NA,447.618151714,290057.941305,50.2935822653,6405.66,31802.8
2012-11-25,32,13,7720.0,0.0,0.0,6120.0,25738.8,0.0,31802.8,14728.1,100.0,100.0,25116.0,0.0,96.7554192716,73.3935673427,234780.402797,100.0,NA,535.504552295,286806.059834,913.71403945,6405.66,31802.8
2012-12-02,32,14,7720.0,0.0,0.0,0.0,25738.8,0.0,31802.8,14728.1,100.0,100.0,18996.0,0.0,96.7554192716,73.3935673427,228629.27376,100.0,NA,224.375292096,279615.81222,17.2048065783,6405.66,31802.8
2012-12-16,32,15,7720.0,0.0,0.0,0.0,25738.8,0.0,31802.8,14728.1,100.0,100.0,18996.0,0.0,96.7554192716,73.3935673427,221006.294568,100.0,NA,307.131673324,270236.739751,23.115976666,6405.66,31802.8
2012-12-30,32,16,7720.0,0.0,0.0,0.0,25738.8,0.0,31802.8,14728.1,100.0,100.0,18996.0,0.0,96.7554192716,73.3935673427,218548.064457,100.0,NA,214.393521324,267331.636304,16.4918229517,6405.66,31802.8
2013-01-13,32,17,7720.0,0.0,0.0,0.0,25738.8,0.0,31802.8,14728.1,100.0,100.0,18996.0,0.0,96.7554192716,73.3935673427,214246.120985,100.0,NA,22.3546303761,262277.402669,2.77475931258,6405.66,31802.8
2013-01-27,32,18,7720.0,0.0,0.0,0.0,25738.8,0.0,31802.8,14728.1,100.0,100.0,18996.0,0.0,96.7554192716,73.3935673427,210802.240138,100.0,NA,401.905767742,257697.99684,29.8855548387,6405.66,31802.8
2013-02-01,32,19,14320.0,0.0,0.0,6600.0,19138.8,0.0,31802.8,14728.1,100.0,100.0,18996.0,0.0,96.7554192716,73.3935673427,209193.471591,100.0,NA,127.829915169,256010.15983,953.165851084,6405.66,31802.8
2013-02-10,32,20,14320.0,0.0,0.0,0.0,19138.8,0.0,31802.8,14728.1,100.0,100.0,12396.0,0.0,96.7554192716,73.3935673427,200303.670213,100.0,NA,156.577964636,245140.190588,12.3621403312,6405.66,31802.8
2013-02-24,32,21,14320.0,0.0,0.0,0.0,19138.8,0.0,31802.8,14728.1,100.0,100.0,12396.0,0.0,96.7554192716,73.3935673427,194468.237486,100.0,NA,1352.51127936,236827.875899,81.178,6405.66,31802.8
2013-03-10,32,22,14320.0,0.0,0.0,0.0,19138.8,0.0,31802.8,14728.1,100.0,100.0,12396.0,0.0,96.7554192716,73.3935673427,208399.786942,100.0,NA,13153.3023008,242016.779336,81.178,6405.66,31802.8
2013-03-16,32,23,14920.0,0.0,0.0,600.0,18538.8,0.0,31802.8,14728.1,100.0,100.0,12396.0,0.0,96.7554192716,73.3935673427,195616.285179,100.0,NA,690.084335422,238890.361004,136.184023959,6405.66,31802.8
2013-03-24,32,24,14920.0,0.0,0.0,0.0,18538.8,0.0,31802.8,14728.1,100.0,100.0,11796.0,0.0,96.7554192716,73.3935673427,193389.4167,100.0,NA,68.4991973743,236796.252876,6.07079981245,6405.66,31802.8
2013-04-07,32,25,14920.0,0.0,0.0,0.0,18538.8,0.0,31802.8,14728.1,100.0,100.0,11796.0,0.0,96.7554192716,73.3935673427,194544.841881,100.0,NA,31.8728997319,238241.934272,3.45463569513,6405.66,31802.8
2013-04-21,32,26,14920.0,0.0,0.0,0.0,18538.8,0.0,31802.8,14728.1,100.0,100.0,11796.0,0.0,96.7554192716,73.3935673427,193608.339996,100.0,NA,222.384029147,236909.347674,17.0625735105,6405.66,31802.8
2013-04-30,32,27,14920.0,0.0,0.0,0.0,18538.8,0.0,31802.8,14728.1,100.0,100.0,11796.0,0.0,96.7554192716,73.3935673427,192904.494932,100.0,NA,0.0,236273.384063,1.178,6405.66,31802.8
2013-07-01,33,1,120.0,0.0,0.0,120.0,31682.8,0.0,31802.8,0.0,100.0,0.0,25716.0,0.0,78.859035024,0.0,225005.621094,74.0,NA,108.954024591,275312.144871,26.1032874708,13865.06,0.0
2013-07-15,33,2,1120.0,0.0,1000.0,0.0,32338.8,0.0,31802.8,14728.1,100.0,100.0,25596.0,0.0,78.859035024,73.3935673427,234988.473479,100.0,NA,1518.41226543,286076.896855,252.493161817,13865.06,31802.8
2013-07-29,33,3,1240.0,0.0,0.0,120.0,32218.8,0.0,31802.8,14728.1,100.0,100.0,25596.0,0.0,78.859035024,73.3935673427,254248.61043,100.0,NA,1022.24128392,310061.039728,91.3380917085,13865.06,31802.8
2013-08-12,33,4,1360.0,0.0,0.0,120.0,32098.8,0.0,31802.8,14728.1,100.0,100.0,25476.0,0.0,78.859035024,73.3935673427,261717.058753,100.0,NA,1729.85528285,318461.289538,141.881948775,13865.06,31802.8
2013-08-25,33,5,1360.0,0.0,0.0,0.0,32098.8,0.0,31802.8,14728.1,100.0,100.0,25356.0,0.0,78.859035024,73.3935673427,261340.402838,100.0,NA,1844.75267612,317887.055663,132.946048294,13865.06,31802.8
2013-08-26,33,6,1360.0,0.0,0.0,0.0,32098.8,0.0,31802.8,14728.1,100.0,100.0,25356.0,0.0,78.859035024,73.3935673427,258930.026609,100.0,NA,928.048516161,315864.276617,67.4671797258,13865.06,31802.8
2013-09-09,33,7,1360.0,0.0,0.0,0.0,32098.8,0.0,31802.8,14728.1,100.0,100.0,25356.0,0.0,78.859035024,73.3935673427,252444.225758,100.0,NA,249.615606348,308633.196293,19.0076861677,13865.06,31802.8
2013-09-23,33,8,1360.0,0.0,0.0,0.0,32098.8,0.0,31802.8,14728.1,100.0,100.0,25356.0,0.0,78.859035024,73.3935673427,259873.744588,100.0,NA,640.87331579,317302.327402,46.9546654136,13865.06,31802.8
2013-10-07,33,9,1360.0,0.0,0.0,0.0,32098.8,0.0,31802.8,14728.1,100.0,100.0,25356.0,0.0,78.859035024,73.3935673427,255173.050635,100.0,NA,221.377302486,311989.269814,16.9906644633,13865.06,31802.8
2013-10-21,33,10,1480.0,0.0,0.0,120.0,31978.8,0.0,31802.8,14728.1,100.0,100.0,25356.0,0.0,78.859035024,73.3935673427,250678.873468,100.0,NA,186.016013076,306543.92724,31.6077152197,13865.06,31802.8
2013-11-04,33,11,1600.0,0.0,0.0,120.0,31858.8,0.0,31802.8,14728.1,100.0,100.0,25236.0,0.0,78.859035024,73.3935673427,250523.318971,100.0,NA,44.6139178507,306495.62873,21.5075655608,13865.06,31802.8
2013-11-18,33,12,1699.4387202,0.0,0.0,99.4387201991,31759.3612798,0.0,31802.8,14728.1,100.0,100.0,25116.0,0.0,78.859035024,73.3935673427,247853.540975,100.0,NA,5.08363138563,303279.332192,15.7466479846,13865.06,31802.8
